phase,cell,scenario,row_id,key_name,metric,unit,n,median,p95,mean,min,max
check,F1,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,100,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,100,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,100,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,100,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F1,read_correctness,100,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,1,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,1,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,1,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,1,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,1,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,10,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,10,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,10,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,10,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,10,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,25,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,25,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,25,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,25,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,25,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,50,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,50,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,50,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,50,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,50,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,60,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,60,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,60,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,60,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,60,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,75,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,75,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,100,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,100,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,100,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,100,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J00,read_correctness,100,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,1,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,1,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,1,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,1,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,1,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,10,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,10,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,10,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,10,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,10,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,25,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,25,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,25,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,25,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,25,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,50,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,50,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,50,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,50,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,50,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,60,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,60,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,60,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,60,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,60,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,75,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,75,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,100,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,100,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,100,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,100,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,J10,read_correctness,100,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,1,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,1,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,1,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,1,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,1,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,10,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,10,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,10,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,10,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,10,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,25,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,25,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,25,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,25,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,25,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,50,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,50,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,50,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,50,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,50,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,60,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,60,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,60,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,60,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,60,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,75,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,75,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,100,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,100,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,100,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,100,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P00,read_correctness,100,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,1,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,1,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,1,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,1,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,1,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,10,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,10,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,10,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,10,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,10,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,25,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,25,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,25,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,25,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,25,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,50,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,50,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,50,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,50,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,50,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,60,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,60,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,60,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,60,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,60,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,75,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,75,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,100,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,100,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,100,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,100,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,P10,read_correctness,100,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
dataset,F0,size,1,all,pg_column_size_dataset,bytes,1,222.0,222.0,222.0,222.0,222.0
dataset,F0,size,1,all,raw_jsonb_text_bytes,bytes,1,78.0,78.0,78.0,78.0,78.0
dataset,F0,size,10,all,pg_column_size_dataset,bytes,1,498.0,498.0,498.0,498.0,498.0
dataset,F0,size,10,all,raw_jsonb_text_bytes,bytes,1,149.0,149.0,149.0,149.0,149.0
dataset,F0,size,25,all,pg_column_size_dataset,bytes,1,143.0,143.0,143.0,143.0,143.0
dataset,F0,size,25,all,raw_jsonb_text_bytes,bytes,1,632.0,632.0,632.0,632.0,632.0
dataset,F0,size,50,all,pg_column_size_dataset,bytes,1,895.0,895.0,895.0,895.0,895.0
dataset,F0,size,50,all,raw_jsonb_text_bytes,bytes,1,10478.0,10478.0,10478.0,10478.0,10478.0
dataset,F0,size,60,all,pg_column_size_dataset,bytes,1,2586.0,2586.0,2586.0,2586.0,2586.0
dataset,F0,size,60,all,raw_jsonb_text_bytes,bytes,1,33044.0,33044.0,33044.0,33044.0,33044.0
dataset,F0,size,75,all,pg_column_size_dataset,bytes,1,14005.0,14005.0,14005.0,14005.0,14005.0
dataset,F0,size,75,all,raw_jsonb_text_bytes,bytes,1,185615.0,185615.0,185615.0,185615.0,185615.0
dataset,F0,size,100,all,pg_column_size_dataset,bytes,1,247092.0,247092.0,247092.0,247092.0,247092.0
dataset,F0,size,100,all,raw_jsonb_text_bytes,bytes,1,3300046.0,3300046.0,3300046.0,3300046.0,3300046.0
dataset,F1,size,1,all,pg_column_size_dataset,bytes,1,226.0,226.0,226.0,226.0,226.0
dataset,F1,size,1,all,raw_jsonb_text_bytes,bytes,1,78.0,78.0,78.0,78.0,78.0
dataset,F1,size,10,all,pg_column_size_dataset,bytes,1,502.0,502.0,502.0,502.0,502.0
dataset,F1,size,10,all,raw_jsonb_text_bytes,bytes,1,149.0,149.0,149.0,149.0,149.0
dataset,F1,size,25,all,pg_column_size_dataset,bytes,1,142.0,142.0,142.0,142.0,142.0
dataset,F1,size,25,all,raw_jsonb_text_bytes,bytes,1,632.0,632.0,632.0,632.0,632.0
dataset,F1,size,50,all,pg_column_size_dataset,bytes,1,869.0,869.0,869.0,869.0,869.0
dataset,F1,size,50,all,raw_jsonb_text_bytes,bytes,1,10478.0,10478.0,10478.0,10478.0,10478.0
dataset,F1,size,60,all,pg_column_size_dataset,bytes,1,2586.0,2586.0,2586.0,2586.0,2586.0
dataset,F1,size,60,all,raw_jsonb_text_bytes,bytes,1,33044.0,33044.0,33044.0,33044.0,33044.0
dataset,F1,size,75,all,pg_column_size_dataset,bytes,1,14004.0,14004.0,14004.0,14004.0,14004.0
dataset,F1,size,75,all,raw_jsonb_text_bytes,bytes,1,185615.0,185615.0,185615.0,185615.0,185615.0
dataset,F1,size,100,all,pg_column_size_dataset,bytes,1,247091.0,247091.0,247091.0,247091.0,247091.0
dataset,F1,size,100,all,raw_jsonb_text_bytes,bytes,1,3300046.0,3300046.0,3300046.0,3300046.0,3300046.0
dataset,J00,size,1,all,pg_column_size_dataset,bytes,1,222.0,222.0,222.0,222.0,222.0
dataset,J00,size,1,all,raw_jsonb_text_bytes,bytes,1,78.0,78.0,78.0,78.0,78.0
dataset,J00,size,10,all,pg_column_size_dataset,bytes,1,498.0,498.0,498.0,498.0,498.0
dataset,J00,size,10,all,raw_jsonb_text_bytes,bytes,1,149.0,149.0,149.0,149.0,149.0
dataset,J00,size,25,all,pg_column_size_dataset,bytes,1,143.0,143.0,143.0,143.0,143.0
dataset,J00,size,25,all,raw_jsonb_text_bytes,bytes,1,632.0,632.0,632.0,632.0,632.0
dataset,J00,size,50,all,pg_column_size_dataset,bytes,1,895.0,895.0,895.0,895.0,895.0
dataset,J00,size,50,all,raw_jsonb_text_bytes,bytes,1,10478.0,10478.0,10478.0,10478.0,10478.0
dataset,J00,size,60,all,pg_column_size_dataset,bytes,1,36.0,36.0,36.0,36.0,36.0
dataset,J00,size,60,all,raw_jsonb_text_bytes,bytes,1,33044.0,33044.0,33044.0,33044.0,33044.0
dataset,J00,size,75,all,pg_column_size_dataset,bytes,1,36.0,36.0,36.0,36.0,36.0
dataset,J00,size,75,all,raw_jsonb_text_bytes,bytes,1,185615.0,185615.0,185615.0,185615.0,185615.0
dataset,J00,size,100,all,pg_column_size_dataset,bytes,1,36.0,36.0,36.0,36.0,36.0
